20160211141552 CRAWL RESUMED - Running
           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2016-02-11T15:12:32Z        3298        1647         1651        0.2(0.49)       4(9)             0             2        19250         28772            1        1054         823
2016-02-11T15:12:52Z        3299        1643         1656       0.25(0.48)       5(9)             0             0        21648         28772            1        1050         821
2016-02-11T15:13:12Z        3356        1693         1663       0.35(0.48)       9(9)             0             1        18480         28772            1        1045         846
2016-02-11T15:13:32Z        3801        2130         1671        0.4(0.48)      32(9)             0             0        18821         28772            1        1429        1065
2016-02-11T15:13:52Z        3803        2130         1673        0.1(0.48)       6(9)             0             0        22791         28772            1        1429        1065
2016-02-11T15:14:12Z        3803        2123         1680       0.35(0.48)      14(9)             0             0        23727         28772            1        1425        1061
2016-02-11T15:14:32Z        3803        2116         1687       0.35(0.48)      12(9)             0             0        24753         28772            1        1421        1058
2016-02-11T15:14:52Z        3803        2112         1691        0.2(0.48)       3(9)             0             1        25430         28772            1        1418        1056
2016-02-11T15:15:12Z        3803        2106         1697        0.3(0.48)       6(9)             0             1        26144         28772            1        1413        1053
2016-02-11T15:15:32Z        3803        2101         1702       0.25(0.48)      10(9)             0             0        18421         28772            1        1411        1050
2016-02-11T15:15:52Z        3803        2097         1706        0.2(0.47)       4(9)             0             0        18914         28772            1        1408        1048
2016-02-11T15:16:12Z        3803        2090         1713       0.35(0.47)       7(9)             0             0        19851         28772            1        1403        1045
2016-02-11T15:16:32Z        3803        2083         1720       0.35(0.47)       7(9)             0             0        20789         28772            1        1398        1041
2016-02-11T15:16:52Z        3803        2074         1729       0.45(0.47)      10(9)             0             0        21958         28772            1        1392        1037
2016-02-11T15:17:12Z        3803        2069         1734       0.25(0.47)       4(9)             0             0        22645         28772            1        1388        1034
2016-02-11T15:17:32Z        3803        2061         1742        0.4(0.47)       5(9)             0             0        23649         28772            1        1381        1030
2016-02-11T15:17:52Z        3803        2053         1750        0.4(0.47)       7(9)             0             0        24685         28772            1        1375        1026
2016-02-11T15:18:12Z        3803        2045         1758        0.4(0.47)      10(9)             0             1        25776         28772            1        1370        1022
2016-02-11T15:18:32Z        3803        2039         1764        0.3(0.47)       7(9)             0             0        18532         28772            1        1366        1019
2016-02-11T15:18:52Z        3803        2032         1771       0.35(0.47)       7(9)             0             0        19432         28772            1        1361        1016
2016-02-11T15:19:12Z        3803        2025         1778       0.35(0.47)       7(9)             0             0        20319         28772            1        1356        1012
2016-02-11T15:19:32Z        3803        2019         1784        0.3(0.47)       4(9)             0             0        21125         28772            1        1351        1009
2016-02-11T15:19:52Z        3803        2014         1789       0.25(0.47)       4(9)             0             0        21807         28772            1        1347        1007
2016-02-11T15:20:12Z        3803        2007         1796       0.35(0.47)       9(9)             0             1        22806         28772            1        1342        1003
2016-02-11T15:20:32Z        3805        2004         1801       0.25(0.46)      11(9)             0             0        25712         28772            1        1339        1002
2016-02-11T15:20:52Z        3808        1999         1809        0.4(0.46)       5(9)             0             0        20152         28772            1        1334         999
2016-02-11T15:21:12Z        3866        2048         1818       0.45(0.46)      11(9)             0             0        19094         28772            1        1328        1024
2016-02-11T15:21:32Z        3869        2044         1825       0.35(0.46)      10(9)             0             1        25372         28772            1        1324        1022
2016-02-11T15:21:52Z        3927        2093         1834       0.45(0.46)      11(9)             0             0        24256         28772            1        1318        1046
2016-02-11T15:22:12Z        3929        2088         1841       0.35(0.46)       7(9)             0             0        20631         28772            1        1313        1044
2016-02-11T15:22:32Z        3931        2083         1848       0.35(0.46)       7(9)             0             0        25056         28772            1        1308        1041
2016-02-11T15:22:52Z        4044        2187         1857       0.45(0.46)      11(9)             0             1        23114         28772            1        1303        1093
2016-02-11T15:23:12Z        4045        2179         1866       0.45(0.46)      11(9)             0             0        26020         28772            1        1297        1089
2016-02-11T15:23:32Z        4045        2171         1874        0.4(0.46)      11(9)             0             0        18886         28772            1        1292        1085
2016-02-11T15:23:52Z        4045        2162         1883       0.45(0.46)      11(9)             0             0        20054         28772            1        1286        1081
2016-02-11T15:24:12Z        4045        2154         1891        0.4(0.46)      11(9)             0             0        21036         28772            1        1281        1077
2016-02-11T15:24:32Z        4045        2145         1900       0.45(0.46)      11(9)             0             0        22176         28772            1        1275        1072
2016-02-11T15:24:52Z        4045        2137         1908        0.4(0.46)      11(9)             0             0        23215         28772            1        1270        1068
2016-02-11T15:25:12Z        4045        2128         1917       0.45(0.46)       8(9)             0             0        24355         28772            1        1263        1064
2016-02-11T15:25:32Z        4045        2120         1925        0.4(0.46)      11(9)             0             0        25346         28772            1        1258        1060
2016-02-11T15:25:52Z        4045        2112         1933        0.4(0.46)      11(9)             0             0        26372         28772            1        1253        1056
2016-02-11T15:26:12Z        4045        2104         1941        0.4(0.46)       8(9)             0             0        19300         28772            1        1247        1052
2016-02-11T15:26:32Z        4045        2095         1950       0.45(0.46)      11(9)             0             0        20440         28772            1        1241        1047
2016-02-11T15:26:52Z        4045        2086         1959       0.45(0.46)      11(9)             0             0        21565         28772            1        1235        1043
2016-02-11T15:27:12Z        4409        2443         1966       0.35(0.46)      30(9)             0             0        25799         28772            1        1595        1221
2016-02-11T15:27:32Z        4410        2442         1968        0.1(0.46)       6(9)             0             1        20127         28772            1        1595        1221
2016-02-11T15:27:52Z        4468        2492         1976        0.4(0.46)      15(9)             0             0        18700         28772            1        1590        1246
2016-02-11T15:28:12Z        4471        2487         1984        0.4(0.46)      12(9)             0             0        25081         28772            1        1585        1243
2016-02-11T15:28:32Z        4529        2535         1994        0.5(0.46)      11(9)             0             0        24301         28772            1        1578        1267
2016-02-11T15:28:52Z        4532        2529         2003       0.45(0.46)      10(9)             0             0        22858         28772            1        1572        1264
